state,count
California,193
Washington,69
Texas,60
Florida,57
New York,48
Arizona,40
Illinois,39
Colorado,38
Pennsylvania,36
Michigan,33
Missouri,32
Ohio,32
Oregon,32
Minnesota,25
Massachusetts,23
Virginia,22
Tennessee,21
North Carolina,21
New Jersey,20
Georgia,19
Wisconsin,17
South Carolina,17
Nevada,16
Indiana,15
New Mexico,15
Utah,15
Connecticut,15
Maryland,13
Iowa,13
West Virginia,10
Kansas,10
Mississippi,10
Oklahoma,10
Maine,9
Louisiana,9
Idaho,9
Alabama,8
Montana,7
Kentucky,7
Arkansas,7
Rhode Island,6
New Hampshire,6
Hawaii,5
Nebraska,5
Alaska,4
Vermont,4
Delaware,4
North Dakota,3
Wyoming,3
South Dakota,1
