state,count
California,236
Washington,112
Texas,110
Florida,90
New York,76
Michigan,60
Pennsylvania,58
Arizona,57
Illinois,57
Ohio,47
Massachusetts,44
Virginia,42
Minnesota,42
Missouri,40
Oregon,39
North Carolina,38
New Jersey,38
Georgia,38
Oklahoma,30
Colorado,29
Tennessee,29
Indiana,28
Nevada,28
Iowa,26
Wisconsin,25
Maryland,25
New Mexico,23
Connecticut,23
Utah,22
Kansas,20
Kentucky,19
Arkansas,19
South Carolina,18
Louisiana,17
New Hampshire,14
Nebraska,13
Idaho,13
Alabama,12
Montana,12
Hawaii,12
Maine,7
West Virginia,7
Alaska,7
Vermont,7
Delaware,5
South Dakota,4
Wyoming,4
Rhode Island,4
North Dakota,3
Mississippi,3
