state,count
California,416
Washington,166
Texas,142
Florida,137
New York,109
Illinois,109
Ohio,106
Michigan,98
Arizona,87
Pennsylvania,85
Oregon,75
Missouri,68
New Jersey,66
North Carolina,66
Indiana,62
Colorado,60
Wisconsin,56
Minnesota,54
Virginia,51
Tennessee,48
Georgia,46
Massachusetts,43
Oklahoma,38
Nevada,36
Kentucky,33
South Carolina,32
Idaho,32
Maryland,31
Utah,30
Maine,29
Connecticut,27
Arkansas,27
Iowa,26
New Mexico,26
Kansas,25
Louisiana,24
Montana,24
West Virginia,23
Alaska,21
New Hampshire,19
Alabama,15
Hawaii,15
Mississippi,14
Vermont,11
Nebraska,10
North Dakota,10
South Dakota,10
Wyoming,9
Rhode Island,8
Delaware,2
