state,count
California,1132
Washington,683
Texas,477
Florida,475
New York,461
Michigan,379
Illinois,374
Ohio,372
Pennsylvania,353
Oregon,291
North Carolina,257
Arizona,242
Indiana,220
Missouri,213
Wisconsin,199
New Jersey,197
Minnesota,182
South Carolina,177
Virginia,176
Georgia,175
Colorado,171
Massachusetts,171
Tennessee,143
Connecticut,143
Kentucky,120
Oklahoma,118
Utah,114
Maryland,113
Iowa,106
Idaho,105
Kansas,97
Arkansas,91
Nevada,89
Nebraska,84
Maine,82
Alabama,79
Montana,78
Louisiana,77
New Mexico,75
New Hampshire,75
West Virginia,72
Mississippi,42
Alaska,41
Rhode Island,37
Vermont,36
Hawaii,26
South Dakota,26
Delaware,25
Wyoming,23
North Dakota,22
