state,count
California,460
Washington,237
Florida,232
Texas,200
New York,162
Ohio,127
Pennsylvania,126
Illinois,112
Michigan,107
Oregon,102
Arizona,99
North Carolina,85
Indiana,74
New Jersey,72
Massachusetts,69
Virginia,68
Wisconsin,66
Minnesota,63
Missouri,58
Tennessee,54
Colorado,54
Georgia,54
Kentucky,52
Maryland,50
Nevada,47
Arkansas,44
Connecticut,40
New Mexico,40
Utah,39
Oklahoma,37
South Carolina,33
West Virginia,33
Idaho,33
Iowa,32
Montana,31
Maine,30
Kansas,29
Alabama,26
Alaska,25
Louisiana,20
Nebraska,15
New Hampshire,15
Mississippi,15
Vermont,14
Delaware,13
Rhode Island,12
Wyoming,11
Hawaii,9
South Dakota,8
North Dakota,8
