state,count
California,786
Washington,484
Florida,385
New York,324
Texas,317
Illinois,283
Ohio,280
Michigan,259
Pennsylvania,256
Oregon,198
North Carolina,170
Missouri,160
Arizona,157
Indiana,147
Virginia,136
Minnesota,130
New Jersey,125
Wisconsin,124
Colorado,122
Georgia,118
Massachusetts,118
Kentucky,103
South Carolina,99
Tennessee,98
Iowa,89
Maryland,82
Kansas,76
Montana,76
New Mexico,76
Utah,74
Connecticut,73
Oklahoma,69
Maine,68
Idaho,68
Nevada,63
Louisiana,61
West Virginia,59
Arkansas,57
Nebraska,47
Alabama,45
Mississippi,41
Alaska,40
New Hampshire,35
South Dakota,30
Wyoming,28
Rhode Island,25
North Dakota,25
Hawaii,22
Vermont,22
Delaware,17
