state,count
California,182
Florida,68
Washington,57
New York,56
Colorado,50
Texas,49
Arizona,43
Illinois,43
Oregon,37
Pennsylvania,35
Ohio,31
Georgia,30
Virginia,29
Wisconsin,26
New Jersey,26
Michigan,26
Indiana,26
Tennessee,24
North Carolina,23
Nevada,21
Massachusetts,18
Missouri,17
Alabama,15
Minnesota,14
New Mexico,14
Maryland,13
Oklahoma,12
West Virginia,11
Connecticut,11
Louisiana,11
Kentucky,10
Alaska,10
Utah,10
South Carolina,10
Kansas,9
Nebraska,8
Rhode Island,8
Montana,7
Maine,7
Arkansas,7
Idaho,7
Mississippi,6
New Hampshire,6
Iowa,6
Hawaii,5
Wyoming,3
North Dakota,3
Delaware,3
South Dakota,1
Vermont,1
