state,count
California,108
Washington,54
Florida,53
Texas,43
Pennsylvania,36
Arizona,36
Ohio,35
Michigan,33
New York,30
Georgia,20
North Carolina,19
Utah,19
Oregon,18
Illinois,16
Colorado,15
New Jersey,15
Minnesota,14
Connecticut,13
Tennessee,13
Virginia,13
Indiana,13
Idaho,12
Maryland,11
New Mexico,11
Kentucky,10
Massachusetts,10
Nevada,10
Missouri,10
Louisiana,10
South Carolina,9
Wisconsin,9
Kansas,9
Mississippi,7
Alabama,6
Iowa,6
Hawaii,5
Oklahoma,5
Montana,5
Vermont,5
New Hampshire,5
West Virginia,4
Alaska,4
Arkansas,3
Maine,3
Nebraska,3
North Dakota,2
Rhode Island,2
Delaware,1
