state,count
California,491
Florida,216
Washington,199
Texas,190
New York,165
Arizona,143
Illinois,137
Pennsylvania,134
Ohio,112
Colorado,96
Missouri,91
Oregon,90
North Carolina,89
Massachusetts,88
Michigan,84
Wisconsin,72
Tennessee,70
New Jersey,68
Virginia,68
Georgia,56
South Carolina,55
Indiana,54
Minnesota,52
Connecticut,49
Maryland,48
New Mexico,47
Alabama,44
Nevada,44
Kentucky,40
New Hampshire,39
Iowa,39
Louisiana,35
Kansas,32
Mississippi,31
Maine,31
Arkansas,30
Montana,24
Utah,24
Hawaii,23
Vermont,22
Idaho,22
Oklahoma,21
Alaska,20
Rhode Island,19
Nebraska,18
Wyoming,17
West Virginia,17
South Dakota,10
Delaware,9
North Dakota,5
