state,count
California,193
Florida,113
Washington,92
Texas,81
New York,62
Pennsylvania,55
Arizona,50
Georgia,45
Ohio,44
North Carolina,43
Colorado,36
Illinois,36
Missouri,35
Virginia,34
Michigan,28
Oregon,27
New Jersey,25
Tennessee,25
Wisconsin,23
Massachusetts,22
Connecticut,22
Oklahoma,22
New Mexico,22
Maryland,21
Indiana,21
Kentucky,21
South Carolina,20
Nevada,19
Minnesota,19
Alabama,18
Iowa,16
Hawaii,15
Maine,14
Kansas,14
Idaho,14
Utah,14
Louisiana,14
Arkansas,14
West Virginia,12
New Hampshire,9
Nebraska,8
Montana,7
Mississippi,7
North Dakota,6
Alaska,5
Vermont,5
Rhode Island,5
Delaware,3
South Dakota,3
Wyoming,2
