state,count
California,203
Washington,88
Texas,64
Florida,56
New York,50
Arizona,48
Illinois,43
Pennsylvania,43
Ohio,35
Georgia,33
Colorado,33
New Jersey,33
North Carolina,32
Michigan,32
Oregon,28
Virginia,25
Tennessee,20
Missouri,20
Nevada,20
Kentucky,19
Massachusetts,18
New Mexico,18
Indiana,18
Maryland,17
Connecticut,16
Minnesota,14
Wisconsin,14
Utah,12
South Carolina,12
Alabama,11
Idaho,10
Louisiana,9
Kansas,9
Arkansas,9
West Virginia,9
Oklahoma,8
Rhode Island,7
Mississippi,7
South Dakota,6
Iowa,6
Alaska,6
Hawaii,6
Montana,6
Maine,5
Delaware,5
Wyoming,4
New Hampshire,4
Nebraska,4
Vermont,3
