state,count
California,297
Washington,129
Texas,123
Florida,115
New York,92
Ohio,83
Illinois,66
Pennsylvania,63
Arizona,57
Oregon,56
Michigan,54
North Carolina,50
Indiana,45
Missouri,44
Georgia,42
Massachusetts,40
New Jersey,35
New Mexico,35
Virginia,33
Nevada,32
Colorado,32
Wisconsin,31
Minnesota,31
Maryland,29
Utah,26
Connecticut,26
Tennessee,25
Oklahoma,25
Maine,23
Kentucky,23
Iowa,22
Idaho,19
Alabama,17
New Hampshire,17
Alaska,16
Arkansas,16
Louisiana,16
South Carolina,15
Montana,15
Kansas,14
Vermont,11
Nebraska,11
West Virginia,11
Hawaii,9
South Dakota,9
Wyoming,8
Mississippi,8
North Dakota,5
Rhode Island,5
Delaware,4
