state,count
California,100
Florida,49
Texas,41
Arizona,36
New York,29
Washington,28
Ohio,27
Pennsylvania,27
North Carolina,23
Indiana,21
Colorado,21
Massachusetts,18
Illinois,18
New Jersey,17
Michigan,17
Nevada,16
Missouri,15
Virginia,13
Tennessee,13
Connecticut,12
Oregon,11
Alabama,11
Georgia,11
South Carolina,10
New Hampshire,9
Wisconsin,9
Maryland,8
Louisiana,8
Kansas,8
Alaska,7
Idaho,7
Utah,7
Iowa,7
Montana,6
Minnesota,6
New Mexico,6
South Dakota,5
Maine,5
Oklahoma,5
Kentucky,4
Arkansas,4
Mississippi,4
Nebraska,4
West Virginia,4
Rhode Island,2
Vermont,2
Delaware,1
Hawaii,1
