state,count
California,1362
Florida,683
Washington,585
Texas,469
New York,452
Illinois,439
Pennsylvania,434
Arizona,402
Ohio,399
North Carolina,365
Oregon,268
Michigan,262
Missouri,253
Wisconsin,218
Indiana,210
New Jersey,206
Georgia,205
South Carolina,201
Colorado,195
Massachusetts,188
Virginia,184
Tennessee,161
Minnesota,148
Connecticut,134
Maryland,131
Kentucky,127
Nevada,120
Arkansas,113
Alabama,112
Utah,106
Oklahoma,106
Iowa,105
Kansas,103
New Mexico,102
Maine,92
New Hampshire,86
Louisiana,86
Idaho,75
Nebraska,64
West Virginia,63
Montana,60
Mississippi,53
Hawaii,50
Alaska,41
Vermont,37
Wyoming,32
Rhode Island,32
South Dakota,30
Delaware,29
North Dakota,14
