state,count
California,189
Texas,81
Florida,75
Washington,70
New York,66
Illinois,51
Arizona,49
Ohio,38
Michigan,35
Pennsylvania,32
Colorado,32
Georgia,30
North Carolina,29
Massachusetts,28
Tennessee,28
New Jersey,27
Virginia,26
Oregon,24
Wisconsin,24
Nevada,22
Kentucky,21
Missouri,20
New Mexico,20
Indiana,17
Connecticut,16
Alabama,15
New Hampshire,15
Oklahoma,14
Utah,13
Maryland,13
Minnesota,12
South Carolina,11
Maine,11
Iowa,10
Louisiana,10
Kansas,10
Idaho,8
Arkansas,7
Rhode Island,6
Hawaii,6
South Dakota,5
Wyoming,5
Nebraska,5
West Virginia,5
North Dakota,4
Alaska,4
Delaware,4
Mississippi,3
Vermont,3
Montana,2
