state,count
California,133
Florida,65
Texas,56
New York,42
Illinois,38
Washington,38
Pennsylvania,31
Ohio,28
Arizona,26
Massachusetts,25
Virginia,24
Colorado,24
Oregon,21
Michigan,21
Tennessee,18
Georgia,18
Maryland,17
North Carolina,16
Nevada,15
New Jersey,15
New Mexico,15
Indiana,14
Utah,13
Alabama,12
Missouri,12
Wisconsin,11
Connecticut,10
Oklahoma,10
South Carolina,10
Arkansas,9
Maine,8
New Hampshire,7
Rhode Island,7
Kansas,6
Kentucky,6
Alaska,6
Minnesota,6
Louisiana,5
Iowa,5
Montana,5
West Virginia,5
Idaho,4
Nebraska,3
Mississippi,3
Vermont,3
South Dakota,2
Wyoming,2
Hawaii,1
Delaware,1
